Date,cumulative_sentiment
2015-01-05,0.0
2015-01-06,0.0
2015-01-07,0.0
2015-01-08,0.0
2015-01-09,0.0
2015-01-12,0.0
2015-01-13,0.8
2015-01-14,0.7428571428571429
2015-01-15,0.6857142857142858
2015-01-16,0.6285714285714286
2015-01-20,-0.29999999999999993
2015-01-21,-0.25714285714285706
2015-01-22,-1.2142857142857144
2015-01-23,-1.0285714285714287
2015-01-26,-0.47142857142857153
2015-01-27,-0.2857142857142857
2015-01-28,-0.1428571428571429
2015-01-29,0.0
2015-01-30,0.0
2015-02-02,0.0
2015-02-03,0.0
2015-02-04,0.0
2015-02-05,0.0
2015-02-06,0.0
2015-02-09,0.0
2015-02-10,0.4
2015-02-11,0.35000000000000003
2015-02-12,0.30000000000000004
2015-02-13,0.25
2015-02-17,0.75
2015-02-18,0.6124999999999999
2015-02-19,0.5249999999999999
2015-02-20,0.4375
2015-02-23,0.275
2015-02-24,0.175
2015-02-25,0.07500000000000001
2015-02-26,0.0625
2015-02-27,0.05
2015-03-02,-0.6875
2015-03-03,-0.5249999999999999
2015-03-04,-0.35
2015-03-05,-0.175
2015-03-06,0.0
2015-03-09,0.0
2015-03-10,0.0
2015-03-11,0.0
2015-03-12,0.0
2015-03-13,0.0
2015-03-16,0.0
2015-03-17,0.7
2015-03-18,0.6124999999999999
2015-03-19,0.5249999999999999
2015-03-20,0.4375
2015-03-23,0.175
2015-03-24,0.0875
2015-03-25,0.0
2015-03-26,0.0
2015-03-27,0.0
2015-03-30,0.0
2015-03-31,0.8
2015-04-01,0.7000000000000001
2015-04-02,0.6000000000000001
2015-04-06,0.05000000000000002
2015-04-07,0.0
2015-04-08,-0.05
2015-04-09,0.0
2015-04-10,0.0
2015-04-13,0.8
2015-04-14,0.7428571428571429
2015-04-15,0.6857142857142858
2015-04-16,0.6285714285714286
2015-04-17,0.5714285714285715
2015-04-20,0.93
2015-04-21,0.3885714285714287
2015-04-22,0.3042857142857143
2015-04-23,0.21999999999999992
2015-04-24,0.13571428571428581
2015-04-27,-0.1838095238095238
2015-04-28,-0.029999999999999992
2015-04-29,0.0
2015-04-30,0.0
2015-05-01,0.7
2015-05-04,0.4375
2015-05-05,0.35
2015-05-06,0.9624999999999999
2015-05-07,0.7874999999999999
2015-05-08,0.6124999999999999
2015-05-11,0.26249999999999996
2015-05-12,0.175
2015-05-13,0.0875
2015-05-14,0.0
2015-05-15,0.0
2015-05-18,0.03333333333333334
2015-05-19,0.0
2015-05-20,0.0
2015-05-21,0.0
2015-05-22,0.0
2015-05-26,0.0
2015-05-27,0.0
2015-05-28,0.0
2015-05-29,0.0
2015-06-01,0.0
2015-06-02,0.0
2015-06-03,0.0
2015-06-04,0.0
2015-06-05,0.0
2015-06-08,0.0
2015-06-09,0.0
2015-06-10,0.0
2015-06-11,0.0
2015-06-12,0.0
2015-06-15,0.24999999999999997
2015-06-16,0.3142857142857143
2015-06-17,0.2642857142857143
2015-06-18,0.21428571428571425
2015-06-19,0.16428571428571428
2015-06-22,0.01428571428571429
2015-06-23,0.4
2015-06-24,1.042857142857143
2015-06-25,0.8982142857142856
2015-06-26,0.7535714285714284
2015-06-29,0.3196428571428571
2015-06-30,0.175
2015-07-01,0.0875
2015-07-02,0.0
2015-07-06,0.0
2015-07-07,0.0
2015-07-08,0.0
2015-07-09,0.9
2015-07-10,0.8357142857142857
2015-07-13,0.6428571428571429
2015-07-14,0.5785714285714285
2015-07-15,0.5142857142857142
2015-07-16,0.45
2015-07-17,0.38571428571428573
2015-07-20,-0.5071428571428571
2015-07-21,-1.1714285714285713
2015-07-22,-1.0357142857142856
2015-07-23,-0.8999999999999999
2015-07-24,-0.7
2015-07-27,-0.012500000000000025
2015-07-28,0.07500000000000001
2015-07-29,0.0625
2015-07-30,0.05
2015-07-31,0.037500000000000006
2015-08-03,0.0
2015-08-04,0.0
2015-08-05,0.0
2015-08-06,0.8
2015-08-07,0.7428571428571429
2015-08-10,0.5714285714285715
2015-08-11,0.5142857142857142
2015-08-12,0.45714285714285713
2015-08-13,0.4
2015-08-14,0.3428571428571429
2015-08-17,0.17142857142857146
2015-08-18,0.11428571428571432
2015-08-19,0.05714285714285712
2015-08-20,0.0
2015-08-21,0.0
2015-08-24,0.0
2015-08-25,0.0
2015-08-26,0.0
2015-08-27,0.0
2015-08-28,0.0
2015-08-31,0.0
2015-09-01,0.0
2015-09-02,0.0
2015-09-03,0.0
2015-09-04,0.0
2015-09-08,0.06666666666666668
2015-09-09,0.03333333333333334
2015-09-10,0.0
2015-09-11,0.0
2015-09-14,0.0
2015-09-15,0.0
2015-09-16,0.0
2015-09-17,0.0
2015-09-18,0.0
2015-09-21,0.0
2015-09-22,0.0
2015-09-23,0.0
2015-09-24,0.7
2015-09-25,0.6124999999999999
2015-09-28,0.35
2015-09-29,0.26249999999999996
2015-09-30,0.175
2015-10-01,0.9875
2015-10-02,0.8357142857142857
2015-10-05,0.6428571428571429
2015-10-06,0.5785714285714285
2015-10-07,0.21428571428571425
2015-10-08,0.17142857142857143
2015-10-09,0.12857142857142856
2015-10-12,2.7755575615628914e-17
2015-10-13,-0.04285714285714279
2015-10-14,-0.08571428571428573
2015-10-15,-0.1285714285714286
2015-10-16,-0.10714285714285712
2015-10-19,-0.5428571428571429
2015-10-20,-0.45
2015-10-21,-0.35714285714285715
2015-10-22,-0.2857142857142857
2015-10-23,-0.2142857142857143
2015-10-26,0.0
2015-10-27,-0.7
2015-10-28,0.20000000000000007
2015-10-29,-0.15714285714285714
