Date,cumulative_sentiment
2015-01-05,0.1
2015-01-06,0.06666666666666668
2015-01-07,0.13333333333333336
2015-01-08,0.7666666666666666
2015-01-09,0.6333333333333333
2015-01-12,0.3
2015-01-13,0.19999999999999998
2015-01-14,-0.019999999999999962
2015-01-15,-0.4
2015-01-16,-0.23714285714285718
2015-01-20,-0.0857142857142857
2015-01-21,0.7571428571428571
2015-01-22,0.7000000000000001
2015-01-23,0.6000000000000001
2015-01-26,0.30000000000000004
2015-01-27,0.55
2015-01-28,0.42500000000000004
2015-01-29,1.0718750000000001
2015-01-30,0.9116071428571428
2015-02-02,1.3308035714285715
2015-02-03,1.1330357142857141
2015-02-04,0.985267857142857
2015-02-05,0.8375
2015-02-06,1.592857142857143
2015-02-09,1.7214285714285715
2015-02-10,2.0357142857142856
2015-02-11,1.7375000000000003
2015-02-12,1.8392857142857144
2015-02-13,1.0625
2015-02-17,0.0714285714285714
2015-02-18,-0.11428571428571427
2015-02-19,-0.18000000000000002
2015-02-20,0.5399999999999999
2015-02-23,1.4285714285714284
2015-02-24,1.289642857142857
2015-02-25,0.4507142857142856
2015-02-26,0.4117857142857143
2015-02-27,0.3728571428571428
2015-03-02,-0.2839285714285715
2015-03-03,-0.21785714285714292
2015-03-04,-0.4142857142857143
2015-03-05,-0.22571428571428578
2015-03-06,0.16285714285714284
2015-03-09,0.5222222222222221
2015-03-10,0.9743518518518518
2015-03-11,0.9264814814814815
2015-03-12,0.7452777777777778
2015-03-13,0.5640740740740741
2015-03-16,0.13333333333333333
2015-03-17,-0.09999999999999999
2015-03-18,0.0
2015-03-19,0.006666666666666682
2015-03-20,0.013333333333333336
2015-03-23,0.07500000000000001
2015-03-24,0.15000000000000002
2015-03-25,0.49166666666666664
2015-03-26,0.3833333333333333
2015-03-27,0.3
2015-03-30,0.15
2015-03-31,0.15
2015-04-01,0.03749999999999999
2015-04-02,-0.715
2015-04-06,-0.42
2015-04-07,-0.35
2015-04-08,-0.16333333333333327
2015-04-09,0.5677777777777777
2015-04-10,0.42388888888888887
2015-04-13,-0.15
2015-04-14,-0.13333333333333333
2015-04-15,-0.11666666666666667
2015-04-16,0.0
2015-04-17,-0.08333333333333331
2015-04-20,0.5666666666666667
2015-04-21,0.4976190476190477
2015-04-22,0.5285714285714286
2015-04-23,0.4095238095238095
2015-04-24,0.5904761904761905
2015-04-27,0.6749999999999999
2015-04-28,0.6124999999999999
2015-04-29,0.5249999999999999
2015-04-30,0.4375
2015-05-01,1.0499999999999998
2015-05-04,0.825
2015-05-05,0.6
2015-05-06,0.4325
2015-05-07,0.265
2015-05-08,0.09749999999999999
2015-05-11,0.0
2015-05-12,0.05
2015-05-13,0.025
2015-05-14,0.1
2015-05-15,0.06666666666666668
2015-05-18,1.4125
2015-05-19,1.260714285714286
2015-05-20,1.0489285714285717
2015-05-21,0.8371428571428572
2015-05-22,0.7253571428571429
2015-05-26,0.1
2015-05-27,0.02571428571428573
2015-05-28,0.3264285714285714
2015-05-29,0.2842857142857143
2015-06-01,0.14285714285714288
2015-06-02,0.0857142857142857
2015-06-03,0.12285714285714287
2015-06-04,0.4685714285714285
2015-06-05,0.4771428571428572
2015-06-08,0.3885714285714285
2015-06-09,0.2995238095238095
2015-06-10,0.06666666666666668
2015-06-11,0.05357142857142855
2015-06-12,0.14047619047619048
2015-06-15,0.0071428571428571435
2015-06-16,0.1
2015-06-17,0.12619047619047621
2015-06-18,-0.28928571428571426
2015-06-19,-0.14761904761904768
2015-06-22,0.5107142857142857
2015-06-23,0.38571428571428573
2015-06-24,1.0523809523809522
2015-06-25,1.019047619047619
2015-06-26,0.7952380952380952
