,ticker,pub_date,abstract,vader_pos,vader_neu,vader_neg,vader_label,drob_neg,drob_neu,drob_pos,drob_label,deb_pos,deb_neg,deb_neu,deb_sentiment
0,AAPL,2015-01-05,"You can adjust your settings so that only certain people can see your images. Also, syncing files between Macs and PCs.",0.106,0.894,0.0,Positive,0.075523,0.80775917,0.11671779,Neutral,0.00085187994,0.98828715,0.010860982,Neutral
1,AAPL,2015-01-05,It’s time to take note of what lies at the top of the fashion agenda for 2015.,0.092,0.765,0.143,Negative,0.066431336,0.66350985,0.27005872,Neutral,0.0015229539,0.9852422,0.013234852,Neutral
2,AAPL,2015-01-06,,0.0,0.0,0.0,Neutral,0.026959319,0.8985352,0.074505374,Neutral,0.072680265,0.20797661,0.71934307,Positive
3,AAPL,2015-01-07,"With apps able to act as cameras, media players and so much more, the world of consumer electronics is in turmoil as smartphones supersede all other devices.",0.0,0.912,0.088,Negative,0.78757554,0.12884505,0.083579384,Negative,0.025295425,0.89877194,0.07593254,Neutral
4,AAPL,2015-01-08,"Google’s app store is the largest in the world, but still makes far less money than the Apple App Store.",0.0,1.0,0.0,Neutral,0.5935909,0.31999764,0.08641144,Negative,0.1108931,0.6431649,0.24594201,Neutral
5,AAPL,2015-01-09,"Facebook eventually reverts to the “Top Stories” view of its news feed even if “Most Recent” is chosen, but there are ways around this.",0.0,1.0,0.0,Neutral,0.0941062,0.80478483,0.101108946,Neutral,0.08044899,0.8601131,0.05943795,Neutral
6,AAPL,2015-01-12,,0.0,0.0,0.0,Neutral,0.026959319,0.8985352,0.074505374,Neutral,0.072680265,0.20797661,0.71934307,Positive
7,AAPL,2015-01-13,,0.0,0.0,0.0,Neutral,0.026959319,0.8985352,0.074505374,Neutral,0.072680265,0.20797661,0.71934307,Positive
8,AAPL,2015-01-14,"Apple, Google, Intel and Adobe say a new deal has been struck to settle a lawsuit that asserts the companies had agreed not to directly solicit one another’s employees.",0.07,0.8,0.13,Negative,0.25849006,0.33855996,0.40295,Positive,0.004472623,0.04393943,0.9515879,Positive
9,AAPL,2015-01-14,"Apple, Google, Intel and Adobe are said to be offering $415 million to settle accusations that they conspired against their own employees.",0.0,0.901,0.099,Negative,0.049436998,0.6305335,0.3200295,Neutral,0.043262307,0.13446382,0.8222739,Positive
10,AAPL,2015-01-14,"The new operating system can help you monitor battery use better, help take better photos and make Siri easier to use.",0.467,0.533,0.0,Positive,0.0123484535,0.31475288,0.6728987,Positive,0.0024687778,0.2917042,0.70582694,Positive
11,AAPL,2015-01-14,The companies are asking courts for help after two years of negotiations and failing to reach an agreement.,0.288,0.576,0.136,Positive,0.69110423,0.22801244,0.08088335,Negative,0.87539065,0.11785762,0.006751717,Negative
12,AAPL,2015-01-14,"You probably didn’t know about these five features hidden in the iPhone’s iOS 8 operating system. Use them, and you’ll be using your phone like a pro.",0.094,0.906,0.0,Positive,0.03346,0.7926454,0.17389461,Neutral,0.006357724,0.84585655,0.14778577,Neutral
13,AAPL,2015-01-15,A planned bill would expand New York’s definition of what constitutes the type of private information whose breach would mandate a disclosure. It would cover email addresses and passwords.,0.081,0.919,0.0,Positive,0.12735714,0.67043775,0.20220508,Neutral,0.053427152,0.7283673,0.21820544,Neutral
14,AAPL,2015-01-16,"Tidying lists after a printer upgrade, and how to excise recently watched movies from Netflix’s list.",0.0,1.0,0.0,Neutral,0.05203727,0.78109527,0.16686743,Neutral,0.0031164987,0.96028894,0.036594514,Neutral
15,AAPL,2015-01-20,,0.0,0.0,0.0,Neutral,0.026959319,0.8985352,0.074505374,Neutral,0.072680265,0.20797661,0.71934307,Positive
16,AAPL,2015-01-21,"Semetric, based in Britain, is one of a growing number of companies that record labels and others consult for data on how music is consumed online.",0.115,0.885,0.0,Positive,0.020018129,0.8673074,0.112674385,Neutral,0.0010735178,0.9914732,0.0074532516,Neutral
17,AAPL,2015-01-22,,0.0,0.0,0.0,Neutral,0.026959319,0.8985352,0.074505374,Neutral,0.072680265,0.20797661,0.71934307,Positive
18,AAPL,2015-01-23,,0.0,0.0,0.0,Neutral,0.026959319,0.8985352,0.074505374,Neutral,0.072680265,0.20797661,0.71934307,Positive
19,AAPL,2015-01-26,,0.0,0.0,0.0,Neutral,0.026959319,0.8985352,0.074505374,Neutral,0.072680265,0.20797661,0.71934307,Positive
20,AAPL,2015-01-27,The introduction of a large-screen iPhone in China helped propel Apple’s profit to $18 billion and its revenue to nearly $75 billion.,0.127,0.873,0.0,Positive,0.016442344,0.07444112,0.9091165,Positive,0.0007698943,0.031592052,0.967638,Positive
21,AAPL,2015-01-27,"Chief executives of successful companies may deserve handsome pay packages, but how do you value the contribution of the average worker?",0.295,0.659,0.047,Positive,0.059427224,0.56536424,0.37520853,Neutral,0.010755289,0.95656335,0.03268133,Neutral
22,AAPL,2015-01-28,"Yahoo’s chief executive wants to get the company’s search bar into Apple’s Safari browser, as it did with the Firefox browser. What that would mean to Google, Safari’s current search bar, isn’t so clear.",0.093,0.907,0.0,Positive,0.053326853,0.73289317,0.21377994,Neutral,0.0060806978,0.9314703,0.06244911,Neutral
23,AAPL,2015-01-28,"Windows PCs are often the main targets of malicious software that loops infected computers into remote-controlled networks called botnets, but Macs are not immune.",0.0,0.832,0.168,Negative,0.5341979,0.37123555,0.09456659,Negative,0.32114667,0.65682393,0.022029387,Neutral
24,AAPL,2015-01-28,"Stringent regulations, including a requirement to share secret codes, are another form of economic protectionism, Western technology companies say.",0.115,0.885,0.0,Positive,0.7003598,0.21409751,0.08554267,Negative,0.9277263,0.06470349,0.007570242,Negative
25,AAPL,2015-01-28,The introduction of a large-screen iPhone in China helped propel Apple’s profit to $18 billion and its revenue to nearly $75 billion.,0.127,0.873,0.0,Positive,0.016442344,0.07444112,0.9091165,Positive,0.0007698943,0.031592052,0.967638,Positive
26,AAPL,2015-01-29,"With the latest earnings reports from Microsoft and Apple, the once-unthinkable became reality: Apple’s market capitalization hit $683 billion, more than double Microsoft’s $338 billion.",0.0,1.0,0.0,Neutral,0.036812294,0.1309596,0.8322281,Positive,0.002581383,0.041419577,0.9559991,Positive
27,AAPL,2015-01-30,"James B. Stewart, on CNBC, discusses why Apple became twice as big as Microsoft. One reason: Apple’s willingness to “destroy” its own products in the interest of innovation.",0.235,0.765,0.0,Positive,0.10587446,0.6407067,0.25341883,Neutral,0.013017213,0.29352343,0.69345933,Positive
28,AAPL,2015-01-30,"With the latest earnings reports from Microsoft and Apple, the once-unthinkable became reality: Apple’s market capitalization hit $683 billion, more than double Microsoft’s $338 billion.",0.0,1.0,0.0,Neutral,0.036812294,0.1309596,0.8322281,Positive,0.002581383,0.041419577,0.9559991,Positive
29,AAPL,2015-02-02,"The company plans to invest $2 billion in creating a data center in Mesa, Ariz., after it dropped plans to produce sapphire, a hardened and light material, at the facility.",0.075,0.925,0.0,Positive,0.7750166,0.14506406,0.07991932,Negative,0.03551079,0.89415175,0.070337504,Neutral
30,AAPL,2015-02-03,"President Obama’s budget calls for a lower overall tax rate, but also for a one-time 14 percent tax on all cash sitting overseas.",0.0,0.926,0.074,Negative,0.14044315,0.37993315,0.47962365,Positive,0.015503381,0.34404552,0.6404511,Positive
31,AAPL,2015-02-04,"Using your phone as a GPS unit is handy, but can run the battery down. Always pack a mobile phone charger.",0.0,1.0,0.0,Neutral,0.69181293,0.24997613,0.058210988,Negative,0.45642263,0.29003456,0.25354272,Negative
32,AAPL,2015-02-05,,0.0,0.0,0.0,Neutral,0.026959319,0.8985352,0.074505374,Neutral,0.072680265,0.20797661,0.71934307,Positive
33,AAPL,2015-02-06,"Both Kantar Worldpanel and Canalys, research firms that track global smartphone sales, said Apple’s mobile operating system gained market share in China at the expense of Google’s Android.",0.156,0.844,0.0,Positive,0.026759963,0.13204516,0.84119487,Positive,0.01784286,0.19407178,0.78808534,Positive
34,AAPL,2015-02-09,"Apple’s share of the industry’s profits increased while Samsung, the only other company turning a profit on its phones, saw sales shrink.",0.373,0.627,0.0,Positive,0.8430855,0.014640999,0.14227353,Negative,0.34026265,0.1202715,0.53946584,Positive
